"No.","Time","Source","Destination","Protocol","Length","Info"
"2694","38281.968720","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"2695","38282.334509","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2696","38282.334513","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2698","38301.531228","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2699","38303.047676","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2702","38321.091850","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2703","38321.468472","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2704","38321.531712","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2705","38321.907194","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2706","38330.052063","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2707","38330.434489","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2710","38341.532391","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2711","38341.907835","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2714","38361.532584","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2715","38362.803526","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2716","38372.376146","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"2717","38372.380566","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"2718","38372.756635","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2719","38372.756639","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2720","38379.355153","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"2721","38379.359718","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"2722","38379.756747","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2723","38379.756751","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2724","38381.533420","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2725","38381.906787","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2728","38401.533997","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2729","38401.908189","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2730","38421.534563","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2731","38421.909520","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2734","38441.535158","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2735","38441.919048","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2736","38461.535615","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2737","38461.909602","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2740","38481.535985","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2741","38481.912011","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2742","38492.334774","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2743","38492.702205","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2744","38498.268130","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2745","38498.639373","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2746","38499.061307","192.168.1.104","161.117.56.73","UDP","426","52506  >  8053 Len=384"
"2747","38499.448438","161.117.56.73","192.168.1.104","UDP","234","8053  >  52506 Len=192"
"2748","38499.476285","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2749","38499.851459","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2750","38501.536757","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2751","38501.915506","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2754","38521.537253","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2755","38521.919961","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2757","38541.538061","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2758","38541.919356","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2761","38561.537911","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2762","38561.933798","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2763","38581.538439","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2764","38581.933295","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2767","38601.540827","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2768","38601.939815","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2769","38621.539881","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2770","38621.941241","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2773","38641.540429","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2774","38641.958736","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2775","38661.540907","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2776","38661.914005","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2780","38672.653729","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2781","38673.053278","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2782","38679.776418","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2783","38680.153575","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2784","38681.541469","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2785","38681.916478","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2786","38701.542185","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2787","38701.914979","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2790","38721.542850","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2791","38721.915356","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2792","38741.543632","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2793","38741.915837","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2794","38761.544021","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2795","38761.926391","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2798","38781.544518","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2799","38781.926846","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2800","38801.545161","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2801","38801.932287","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2802","38812.259357","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2803","38812.268201","192.168.1.104","161.117.56.73","UDP","378","52506  >  8053 Len=336"
"2804","38812.635556","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2805","38812.635561","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
