"No.","Time","Source","Destination","Protocol","Length","Info"
"131556","286.386362","192.168.0.24","223.39.123.191","TLSv1","1558","Application Data [TCP segment of a reassembled PDU]"
"131577","286.391418","192.168.0.24","223.39.123.191","TLSv1","1558","Application Data [TCP segment of a reassembled PDU]"
"131588","286.394737","192.168.0.24","223.39.123.191","TLSv1","1558","Application Data [TCP segment of a reassembled PDU]"
"131601","286.397077","192.168.0.24","223.39.123.191","TLSv1","1558","Application Data [TCP segment of a reassembled PDU]"
"131612","286.400549","192.168.0.24","223.39.123.191","TLSv1","1558","Application Data [TCP segment of a reassembled PDU]"
"131636","286.404697","192.168.0.24","223.39.123.191","TLSv1","1039","Application Data, Application Data"
"131649","286.410911","223.39.123.191","192.168.0.24","TLSv1","407","Application Data"
"131650","286.411001","223.39.123.191","192.168.0.24","TLSv1","261","Application Data, Application Data, Application Data"
"132133","287.143047","192.168.0.16","18.136.162.179","TLSv1.2","141","Encrypted Alert"
"132139","287.229845","18.136.162.179","192.168.0.16","TLSv1.2","141","Encrypted Alert"
"132276","287.791231","192.168.0.1","239.255.255.250","SSDP","462","NOTIFY * HTTP/1.1 "
"132277","287.791486","192.168.0.1","239.255.255.250","SSDP","534","NOTIFY * HTTP/1.1 "
"132278","287.791750","192.168.0.1","239.255.255.250","SSDP","530","NOTIFY * HTTP/1.1 "
"132279","287.793633","192.168.0.1","239.255.255.250","SSDP","506","NOTIFY * HTTP/1.1 "
"132280","287.793721","192.168.0.1","239.255.255.250","SSDP","538","NOTIFY * HTTP/1.1 "
"132281","287.793799","192.168.0.1","239.255.255.250","SSDP","520","NOTIFY * HTTP/1.1 "
"132282","287.793878","192.168.0.1","239.255.255.250","SSDP","526","NOTIFY * HTTP/1.1 "
"132283","287.794109","192.168.0.1","239.255.255.250","SSDP","526","NOTIFY * HTTP/1.1 "
"132284","287.794416","192.168.0.1","239.255.255.250","SSDP","458","NOTIFY * HTTP/1.1 "
"132285","287.794537","192.168.0.1","239.255.255.250","SSDP","530","NOTIFY * HTTP/1.1 "
